threat_id,technique_id,threat_description,run_1,run_2,run_3,included
OS-001,T1595,Active Scanning: Vulnerability Scanning,1,1,1,1
OS-002,T1596,Search Open Technical Databases,1,1,1,1
OS-003,T1598,Spear Phishing Service,1,0,0,0
OS-004,T1587,Develop Capabilities: Malware,1,1,1,1
OS-005,T1584,Compromise Infrastructure: Server,1,0,0,0
OS-006,T1190,Exploit Public-Facing Application,1,1,1,1
OS-007,T1078,Valid Accounts,1,1,1,1
OS-008,T1566,Spear Phishing Link,1,1,1,1
OS-009,T1059,Command and Scripting Interpreter: Windows Command Shell,1,1,1,1
OS-010,T1203,Exploitation for Client Execution,1,1,1,1
OS-011,T1136,Create Account: Local Account,1,0,1,1
OS-012,T1543,Create or Modify System Process: Windows Service,1,0,0,0
OS-013,T1055,Process Injection: DLL Injection,1,0,0,0
OS-014,T1548,Abuse Elevation Control Mechanism: Bypass User Account Control,1,0,0,0
OS-015,T1562,Impair Defenses: Disable or Modify Tools,1,1,1,1
OS-016,T1027,Obfuscated Files or Information,1,1,1,1
OS-017,T1555,Credentials from Web Browsers,1,1,1,1
OS-018,T1003,OS Credential Dumping: LSASS Memory,1,0,0,0
OS-019,T1083,File and Directory Discovery,1,1,1,1
OS-020,T1016,System Network Configuration Discovery,1,1,1,1
OS-021,T1021,Remote Services: SMB/Windows Admin Shares,1,1,1,1
OS-022,T1563,Remote Service Session Hijacking: RDP Hijacking,1,0,0,0
OS-023,T1114,Email Collection: Local Email Stores,1,1,1,1
OS-024,T1056,Input Capture: Keylogging,1,0,1,1
OS-025,T1071,Application Layer Protocol: Web Protocols,1,1,1,1
OS-026,T1573,Encrypted Channel,1,1,1,1
OS-027,T1041,Exfiltration Over C2 Channel,1,1,1,1
OS-028,T1567,Exfiltration Over Web Service: Cloud Storage,1,1,1,1
OS-029,T1486,Data Encrypted for Impact,1,1,1,1
OS-030,T1499,Endpoint Denial of Service,1,1,1,1
OS-031,T1597,Develop Social Engineering Content,0,1,0,0
OS-032,T1588,Obtain Capabilities: Tool,0,1,1,1
OS-033,T1133,External Remote Services,0,1,1,1
OS-034,T1547,Boot or Logon Autostart Execution: Registry Run Keys/Startup Folder,0,1,1,1
OS-035,T1068,Exploitation for Privilege Escalation,0,1,1,1
OS-036,T1110,Brute Force: Password Guessing,0,1,1,1
OS-037,T1570,Lateral Tool Transfer,0,1,1,1
OS-038,T1005,Data from Local System,0,1,1,1
OS-039,T1592,Gather Victim Identity Information: Employee Names,0,0,1,0
OS-040,T1585,Establish Accounts: Social Media Accounts,0,0,1,0
OS-041,T1574,Hijack Execution Flow: DLL Side-Loading,0,0,1,0
OS-042,T1070,Indicator Removal on Host: File Deletion,0,0,1,0
OS-043,T1046,Network Service Scanning,0,0,1,0
OS-044,T1210,Exploitation of Remote Services,0,0,1,0
OS-045,T1530,Data from Cloud Storage Object,0,0,1,0
OS-046,T1105,Ingress Tool Transfer,0,0,1,0
OS-047,T1020,Automated Exfiltration,0,0,1,0
OS-048,T1565,Data Manipulation: Stored Data,0,0,1,0
