threat_id,technique_id,threat_description,ambiguity_class,rationale
B-001,,After-Hours Ransomware Deployment via Active Directory Compromise,clear_match,GP3: explicitly describes ransomware deployment (T1486) and AD compromise; multi-step narrative with concrete ATT&CK-level behaviors
B-002,,SWIFT Messaging Fraud via Compromised Operator Credentials or Lateral Movement into SWIFT Secure Zone,clear_match,"GP3: explicitly describes SWIFT fraud (T1657), compromised credentials (T1078), and lateral movement into secure zone; specific financial attack chain"
B-003,,Compromised Third-Party TPP Leading to Unauthorized PSD2 Payment Initiation at Scale,clear_match,"GP3: describes compromised TPP (T1199 trusted relationship), unauthorized PSD2 payment initiation (T1657); specific supply chain + fraud scenario"
B-004,,CI/CD Pipeline Compromise in Azure DevOps Leading to Malicious Code Injection into Production Banking Applications,clear_match,"GP3: explicitly describes CI/CD pipeline compromise (T1195 supply chain), malicious code injection into production; concrete DevOps attack scenario"
B-005,,Credential Stuffing Campaign Against Web and Mobile Banking Platforms,clear_match,GP3: explicitly names credential stuffing (T1110 brute force) against specific platforms (web/mobile banking); unambiguous technique-level behavior
B-007,,Privileged Insider Threat — SWIFT or Core Banking Operator Fraud,plausible_match,"GP3/GP5: describes privileged insider threat with SWIFT/core banking context, but 'insider threat' is partly a threat actor category; specific enough for T1078 (valid accounts) and T1657 (financial theft) but requires judgment"
B-009,,Nordic MSSP Compromise Used as Pivot into NordFinans Infrastructure,clear_match,GP3: explicitly describes MSSP compromise as pivot (T1199 trusted relationship); specific third-party attack vector with named entity type
B-011,,Euronet ATM Processor Compromise Leading to Core Banking Lateral Movement,clear_match,GP3: describes ATM processor compromise with lateral movement to core banking; specific attack chain via trusted relationship (T1199) and lateral movement
B-012,,Temenos T24 Vendor Support VPN Exploitation,clear_match,"GP3: explicitly describes vendor VPN exploitation (T1133 external remote services, T1199 trusted relationship); specific attack vector"
B-013,,Targeted Spearphishing Campaign Exploiting M365 to Conduct Business Email Compromise (BEC) Against Treasury Operations,clear_match,"GP3: explicitly names spearphishing (T1566), M365 exploitation, and BEC against treasury; multi-technique scenario with concrete behaviors"
B-014,,Azure Cloud Misconfiguration Exploitation During Migration,plausible_match,"GP3/GP5: describes cloud misconfiguration exploitation during migration; 'misconfiguration' is a condition rather than a specific ATT&CK behavior, but implies T1078 (valid accounts) or discovery techniques; requires judgment"
