threat_id,technique_id,threat_description,ambiguity_class,rationale
S-001,T1591,Gather Victim Org Information,clear_match,"EC5: valid ID, name matches canonical 'Gather Victim Org Information' (similarity 1.00)"
S-002,T1590,Gather Victim Network Information,clear_match,"EC5: valid ID, name matches canonical 'Gather Victim Network Information' (similarity 1.00)"
S-003,T1595,Active Scanning,clear_match,"EC5: valid ID, name matches canonical 'Active Scanning' (similarity 1.00)"
S-004,T1593,Search Open Websites/Domains,clear_match,"EC5: valid ID, name matches canonical 'Search Open Websites/Domains' (similarity 1.00)"
S-005,T1596,Search Open Technical Databases,clear_match,"EC5: valid ID, name matches canonical 'Search Open Technical Databases' (similarity 1.00)"
S-006,T1597,Search Closed Sources,clear_match,"EC5: valid ID, name matches canonical 'Search Closed Sources' (similarity 1.00)"
S-007,T1598,Phishing for Information,clear_match,"EC5: valid ID, name matches canonical 'Phishing for Information' (similarity 1.00)"
S-008,T1583,Acquire Infrastructure,clear_match,"EC5: valid ID, name matches canonical 'Acquire Infrastructure' (similarity 1.00)"
S-009,T1585,Establish Accounts,clear_match,"EC5: valid ID, name matches canonical 'Establish Accounts' (similarity 1.00)"
S-011,T1587,Develop Capabilities,clear_match,"EC5: valid ID, name matches canonical 'Develop Capabilities' (similarity 1.00)"
S-012,T1588,Obtain Capabilities,clear_match,"EC5: valid ID, name matches canonical 'Obtain Capabilities' (similarity 1.00)"
S-013,T1566,Phishing,clear_match,"EC5: valid ID, name matches canonical 'Phishing' (similarity 1.00)"
S-014,T1190,Exploit Public-Facing Application,clear_match,"EC5: valid ID, name matches canonical 'Exploit Public-Facing Application' (similarity 1.00)"
S-015,T1133,External Remote Services,clear_match,"EC5: valid ID, name matches canonical 'External Remote Services' (similarity 1.00)"
S-016,T1195,Supply Chain Compromise,clear_match,"EC5: valid ID, name matches canonical 'Supply Chain Compromise' (similarity 1.00)"
S-017,T1199,Trusted Relationship,clear_match,"EC5: valid ID, name matches canonical 'Trusted Relationship' (similarity 1.00)"
S-018,T1078,Valid Accounts,clear_match,"EC5: valid ID, name matches canonical 'Valid Accounts' (similarity 1.00)"
S-020,T1059,Command and Scripting Interpreter,clear_match,"EC5: valid ID, name matches canonical 'Command and Scripting Interpreter' (similarity 1.00)"
S-021,T1204,User Execution,clear_match,"EC5: valid ID, name matches canonical 'User Execution' (similarity 1.00)"
S-022,T1072,Software Deployment Tools,clear_match,"EC5: valid ID, name matches canonical 'Software Deployment Tools' (similarity 1.00)"
S-023,T1053,Scheduled Task/Job,clear_match,"EC5: valid ID, name matches canonical 'Scheduled Task/Job' (similarity 1.00)"
S-024,T1047,Windows Management Instrumentation,clear_match,"EC5: valid ID, name matches canonical 'Windows Management Instrumentation' (similarity 1.00)"
S-026,T1098,Account Manipulation,clear_match,"EC5: valid ID, name matches canonical 'Account Manipulation' (similarity 1.00)"
S-027,T1505,Server Software Component,clear_match,"EC5: valid ID, name matches canonical 'Server Software Component' (similarity 1.00)"
S-028,T1556,Modify Authentication Process,clear_match,"EC5: valid ID, name matches canonical 'Modify Authentication Process' (similarity 1.00)"
S-029,T1136,Create Account,clear_match,"EC5: valid ID, name matches canonical 'Create Account' (similarity 1.00)"
S-030,T1543,Create or Modify System Process,clear_match,"EC5: valid ID, name matches canonical 'Create or Modify System Process' (similarity 1.00)"
S-031,T1068,Exploitation for Privilege Escalation,clear_match,"EC5: valid ID, name matches canonical 'Exploitation for Privilege Escalation' (similarity 1.00)"
S-032,T1558,Steal or Forge Kerberos Tickets,clear_match,"EC5: valid ID, name matches canonical 'Steal or Forge Kerberos Tickets' (similarity 1.00)"
