threat_id,technique_id,threat_description,ambiguity_class,rationale
OS-001,T1595,Active Scanning: Vulnerability Scanning,clear_match,"EC5: valid ID, name matches canonical 'Active Scanning' (similarity 0.90)"
OS-002,T1596,Search Open Technical Databases,clear_match,"EC5: valid ID, name matches canonical 'Search Open Technical Databases' (similarity 1.00)"
OS-004,T1587,Develop Capabilities: Malware,clear_match,"EC5: valid ID, name matches canonical 'Develop Capabilities' (similarity 0.90)"
OS-006,T1190,Exploit Public-Facing Application,clear_match,"EC5: valid ID, name matches canonical 'Exploit Public-Facing Application' (similarity 1.00)"
OS-007,T1078,Valid Accounts,clear_match,"EC5: valid ID, name matches canonical 'Valid Accounts' (similarity 1.00)"
OS-008,T1566,Spear Phishing Link,clear_match,"EC5: valid ID, name matches canonical 'Phishing' (similarity 0.90)"
OS-009,T1059,Command and Scripting Interpreter: Windows Command Shell,clear_match,"EC5: valid ID, name matches canonical 'Command and Scripting Interpreter' (similarity 0.90)"
OS-010,T1203,Exploitation for Client Execution,clear_match,"EC5: valid ID, name matches canonical 'Exploitation for Client Execution' (similarity 1.00)"
OS-011,T1136,Create Account: Local Account,clear_match,"EC5: valid ID, name matches canonical 'Create Account' (similarity 0.90)"
OS-015,T1562,Impair Defenses: Disable or Modify Tools,clear_match,"EC5: valid ID, name matches canonical 'Impair Defenses' (similarity 0.90)"
OS-016,T1027,Obfuscated Files or Information,clear_match,"EC5: valid ID, name matches canonical 'Obfuscated Files or Information' (similarity 1.00)"
OS-017,T1555,Credentials from Web Browsers,plausible_match,"EC5: valid ID, name partially matches canonical 'Credentials from Password Stores' (similarity 0.66); verify behavior"
OS-019,T1083,File and Directory Discovery,clear_match,"EC5: valid ID, name matches canonical 'File and Directory Discovery' (similarity 1.00)"
OS-020,T1016,System Network Configuration Discovery,clear_match,"EC5: valid ID, name matches canonical 'System Network Configuration Discovery' (similarity 1.00)"
OS-021,T1021,Remote Services: SMB/Windows Admin Shares,clear_match,"EC5: valid ID, name matches canonical 'Remote Services' (similarity 0.90)"
OS-023,T1114,Email Collection: Local Email Stores,clear_match,"EC5: valid ID, name matches canonical 'Email Collection' (similarity 0.90)"
OS-024,T1056,Input Capture: Keylogging,clear_match,"EC5: valid ID, name matches canonical 'Input Capture' (similarity 0.90)"
OS-025,T1071,Application Layer Protocol: Web Protocols,clear_match,"EC5: valid ID, name matches canonical 'Application Layer Protocol' (similarity 0.90)"
OS-026,T1573,Encrypted Channel,clear_match,"EC5: valid ID, name matches canonical 'Encrypted Channel' (similarity 1.00)"
OS-027,T1041,Exfiltration Over C2 Channel,clear_match,"EC5: valid ID, name matches canonical 'Exfiltration Over C2 Channel' (similarity 1.00)"
OS-028,T1567,Exfiltration Over Web Service: Cloud Storage,clear_match,"EC5: valid ID, name matches canonical 'Exfiltration Over Web Service' (similarity 0.90)"
OS-029,T1486,Data Encrypted for Impact,clear_match,"EC5: valid ID, name matches canonical 'Data Encrypted for Impact' (similarity 1.00)"
OS-030,T1499,Endpoint Denial of Service,clear_match,"EC5: valid ID, name matches canonical 'Endpoint Denial of Service' (similarity 1.00)"
OS-032,T1588,Obtain Capabilities: Tool,clear_match,"EC5: valid ID, name matches canonical 'Obtain Capabilities' (similarity 0.90)"
OS-033,T1133,External Remote Services,clear_match,"EC5: valid ID, name matches canonical 'External Remote Services' (similarity 1.00)"
OS-034,T1547,Boot or Logon Autostart Execution: Registry Run Keys/Startup Folder,clear_match,"EC5: valid ID, name matches canonical 'Boot or Logon Autostart Execution' (similarity 0.90)"
OS-035,T1068,Exploitation for Privilege Escalation,clear_match,"EC5: valid ID, name matches canonical 'Exploitation for Privilege Escalation' (similarity 1.00)"
OS-036,T1110,Brute Force: Password Guessing,clear_match,"EC5: valid ID, name matches canonical 'Brute Force' (similarity 0.90)"
OS-037,T1570,Lateral Tool Transfer,clear_match,"EC5: valid ID, name matches canonical 'Lateral Tool Transfer' (similarity 1.00)"
OS-038,T1005,Data from Local System,clear_match,"EC5: valid ID, name matches canonical 'Data from Local System' (similarity 1.00)"
