technique_id,technique_name,tactic,traditional_match,llm_baseline_match,llm_structured_match,coder_id,confidence,notes
T1589,Gather Victim Identity Information,reconnaissance,,,,,,
T1590,Gather Victim Network Information,reconnaissance,,,,,,
T1591,Gather Victim Org Information,reconnaissance,,,,,,
T1592,Gather Victim Host Information,reconnaissance,,,,,,
T1593,Search Open Websites/Domains,reconnaissance,,,,,,
T1594,Search Victim-Owned Websites,reconnaissance,,,,,,
T1595,Active Scanning,reconnaissance,,,,,,
T1596,Search Open Technical Databases,reconnaissance,,,,,,
T1597,Search Closed Sources,reconnaissance,,,,,,
T1598,Phishing for Information,reconnaissance,,,,,,
T1583,Acquire Infrastructure,resource-development,,,,,,
T1584,Compromise Infrastructure,resource-development,,,,,,
T1585,Establish Accounts,resource-development,,,,,,
T1586,Compromise Accounts,resource-development,,,,,,
T1587,Develop Capabilities,resource-development,,,,,,
T1588,Obtain Capabilities,resource-development,,,,,,
T1608,Stage Capabilities,resource-development,,,,,,
T1650,Acquire Access,resource-development,,,,,,
T1078,Valid Accounts,initial-access,,,,,,
T1091,Replication Through Removable Media,initial-access,,,,,,
T1133,External Remote Services,initial-access,,,,,,
T1189,Drive-by Compromise,initial-access,,,,,,
T1190,Exploit Public-Facing Application,initial-access,,,,,,
T1195,Supply Chain Compromise,initial-access,,,,,,
T1199,Trusted Relationship,initial-access,,,,,,
T1200,Hardware Additions,initial-access,,,,,,
T1566,Phishing,initial-access,,,,,,
T1659,Content Injection,initial-access,,,,,,
T1047,Windows Management Instrumentation,execution,,,,,,
T1053,Scheduled Task/Job,execution,,,,,,
T1059,Command and Scripting Interpreter,execution,,,,,,
T1072,Software Deployment Tools,execution,,,,,,
T1106,Native API,execution,,,,,,
T1129,Shared Modules,execution,,,,,,
T1203,Exploitation for Client Execution,execution,,,,,,
T1204,User Execution,execution,,,,,,
T1559,Inter-Process Communication,execution,,,,,,
T1569,System Services,execution,,,,,,
T1609,Container Administration Command,execution,,,,,,
T1610,Deploy Container,execution,,,,,,
T1648,Serverless Execution,execution,,,,,,
T1651,Cloud Administration Command,execution,,,,,,
T1037,Boot or Logon Initialization Scripts,persistence,,,,,,
T1053,Scheduled Task/Job,persistence,,,,,,
T1078,Valid Accounts,persistence,,,,,,
T1098,Account Manipulation,persistence,,,,,,
T1133,External Remote Services,persistence,,,,,,
T1136,Create Account,persistence,,,,,,
T1137,Office Application Startup,persistence,,,,,,
T1176,Browser Extensions,persistence,,,,,,
T1197,BITS Jobs,persistence,,,,,,
T1205,Traffic Signaling,persistence,,,,,,
T1505,Server Software Component,persistence,,,,,,
T1525,Implant Internal Image,persistence,,,,,,
T1542,Pre-OS Boot,persistence,,,,,,
T1543,Create or Modify System Process,persistence,,,,,,
T1546,Event Triggered Execution,persistence,,,,,,
T1547,Boot or Logon Autostart Execution,persistence,,,,,,
T1554,Compromise Host Software Binary,persistence,,,,,,
T1556,Modify Authentication Process,persistence,,,,,,
T1574,Hijack Execution Flow,persistence,,,,,,
T1653,Power Settings,persistence,,,,,,
T1037,Boot or Logon Initialization Scripts,privilege-escalation,,,,,,
T1053,Scheduled Task/Job,privilege-escalation,,,,,,
T1055,Process Injection,privilege-escalation,,,,,,
T1068,Exploitation for Privilege Escalation,privilege-escalation,,,,,,
T1078,Valid Accounts,privilege-escalation,,,,,,
T1098,Account Manipulation,privilege-escalation,,,,,,
T1134,Access Token Manipulation,privilege-escalation,,,,,,
T1484,Domain or Tenant Policy Modification,privilege-escalation,,,,,,
T1543,Create or Modify System Process,privilege-escalation,,,,,,
T1546,Event Triggered Execution,privilege-escalation,,,,,,
T1547,Boot or Logon Autostart Execution,privilege-escalation,,,,,,
T1548,Abuse Elevation Control Mechanism,privilege-escalation,,,,,,
T1574,Hijack Execution Flow,privilege-escalation,,,,,,
T1611,Escape to Host,privilege-escalation,,,,,,
T1006,Direct Volume Access,defense-evasion,,,,,,
T1014,Rootkit,defense-evasion,,,,,,
T1027,Obfuscated Files or Information,defense-evasion,,,,,,
T1036,Masquerading,defense-evasion,,,,,,
T1055,Process Injection,defense-evasion,,,,,,
T1070,Indicator Removal,defense-evasion,,,,,,
T1078,Valid Accounts,defense-evasion,,,,,,
T1112,Modify Registry,defense-evasion,,,,,,
T1127,Trusted Developer Utilities Proxy Execution,defense-evasion,,,,,,
T1134,Access Token Manipulation,defense-evasion,,,,,,
T1140,Deobfuscate/Decode Files or Information,defense-evasion,,,,,,
T1197,BITS Jobs,defense-evasion,,,,,,
T1202,Indirect Command Execution,defense-evasion,,,,,,
T1205,Traffic Signaling,defense-evasion,,,,,,
T1207,Rogue Domain Controller,defense-evasion,,,,,,
T1211,Exploitation for Defense Evasion,defense-evasion,,,,,,
T1216,System Script Proxy Execution,defense-evasion,,,,,,
T1218,System Binary Proxy Execution,defense-evasion,,,,,,
T1220,XSL Script Processing,defense-evasion,,,,,,
T1221,Template Injection,defense-evasion,,,,,,
T1222,File and Directory Permissions Modification,defense-evasion,,,,,,
T1480,Execution Guardrails,defense-evasion,,,,,,
T1484,Domain or Tenant Policy Modification,defense-evasion,,,,,,
T1497,Virtualization/Sandbox Evasion,defense-evasion,,,,,,
T1535,Unused/Unsupported Cloud Regions,defense-evasion,,,,,,
T1542,Pre-OS Boot,defense-evasion,,,,,,
T1548,Abuse Elevation Control Mechanism,defense-evasion,,,,,,
T1550,Use Alternate Authentication Material,defense-evasion,,,,,,
T1553,Subvert Trust Controls,defense-evasion,,,,,,
T1556,Modify Authentication Process,defense-evasion,,,,,,
T1562,Impair Defenses,defense-evasion,,,,,,
T1564,Hide Artifacts,defense-evasion,,,,,,
T1574,Hijack Execution Flow,defense-evasion,,,,,,
