threat_id,threat_category,threat_description,source,source_detail,relevance_to_org,researcher_verified,verification_notes
T-001,Ransomware,"Ransomware deployment targeting core banking and on-premises infrastructure via hybrid AD compromise, with double extortion (data exfiltration + encryption)",ENISA ETL 2024; IOCTA 2024,"ENISA Ch.4 (prime threat #1); IOCTA Sec.2.1-2.2 (RaaS landscape, LockBit, Cl0p, 8Base, Akira)","Direct: T24 on-premises, hybrid AD with Azure AD Connect, partial air-gap backups, after-hours SOC gap. LockBit/Cl0p target financial sector (ENISA Fig.25).",verified,
T-002,Ransomware,"Ransomware targeting virtualisation infrastructure (ESXi, Azure VMs) to maximize disruption of migrated workloads",ENISA ETL 2024,ENISA Sec.2.2 (cybercrime actor trends: targeting virtualisation environments),"Direct: ~80 Azure VMs hosting migrated workloads; Windows Server 2019/2022 on-prem. ESXi variants (LockBit, BlackCat) documented.",verified,
T-003,Ransomware,"Exploitation of known vulnerabilities in perimeter devices (Palo Alto PAN-OS, Cisco AnyConnect) as ransomware initial access vector",CISA KEV; ENISA ETL 2024,"KEV: CVE-2024-0012/9474 (PAN-OS auth bypass + cmd injection, ransomware-associated); ENISA Sec.2.2 (zero-day/one-day exploits)",Direct: Palo Alto NGFW deployed at zone boundaries; Cisco AnyConnect VPN for 40% hybrid workforce.,verified,
T-004,Social Engineering,"Spear-phishing targeting employees with credential harvesting pages mimicking M365 login or Azure portal, exploiting hybrid work VPN credential reset pretexts",ENISA ETL 2024; IOCTA 2024,"ENISA Ch.6 (phishing as #1 initial vector, 73% of social eng. breaches); IOCTA Sec.4.1 (phishing-as-a-service)",Direct: 40% hybrid staff using VPN. M365 environment. Financial sector targeted in 10% of social eng. events (ENISA Fig.7).,verified,
T-005,Social Engineering,Business Email Compromise (BEC) targeting treasury/CFO staff for fraudulent payment instructions or SWIFT-related pretexts,ENISA ETL 2024; IOCTA 2024,"ENISA Sec.6.1 (BEC: $4.67M avg breach cost, 22,000 FBI complaints); IOCTA Sec.4.3 (BEC/CEO fraud key EU threat)","Direct: SWIFT operations, treasury staff, M365 email. Financial sector highly targeted for BEC.",verified,
T-006,Social Engineering,Adversary-in-the-Middle (AiTM) phishing to bypass MFA and steal post-authentication session tokens for M365/Azure access,ENISA ETL 2024,"ENISA Sec.6.6 (MFA bypass via AiTM proxies like Evilginx2, intercepting session tokens)",Direct: MFA enforced for remote access and cloud admin. AiTM bypasses MFA entirely by capturing session cookies.,verified,
T-007,Social Engineering,AI-enhanced social engineering using deepfakes and LLM-generated phishing content for more convincing targeted attacks,ENISA ETL 2024; IOCTA 2024,"ENISA Sec.6.8 (AI in social engineering); IOCTA Sec.5.1 (AI-assisted cybercrime, FraudGPT)",Relevant: Lowers barrier for targeted attacks against NordFinans staff. AI deepfakes for vishing.,exclude,Generic AI-enhanced social engineering trend; not org-specific; hard to map beyond T1566
T-008,Social Engineering,Call-back phishing combining email phishing with vishing (phone-based social engineering) to deliver malicious payloads,ENISA ETL 2024,"ENISA Sec.6.7 (call-back phishing, Silent Ransom Group, fraudulent call centres)",Relevant: Bypasses email-only technical controls. Targets employees directly.,exclude,Somewhat generic call-back phishing; maps to T1566 but limited additional ATT&CK specificity
T-009,Credential Attack,Credential stuffing and account takeover against web/mobile banking portals using breach datasets and automated tooling,IOCTA 2024; ENISA ETL 2024,IOCTA Sec.4.2 (ATO as growing threat); ENISA Sec.6.1 (credential theft),"Direct: ~200,000 active monthly web banking users. Mobile banking API. Credential stuffing low-risk/high-profit for criminals.",verified,
T-010,Credential Attack,"Brute force and password spraying against hybrid AD and VPN endpoints, leveraging leaked credentials from third-party breaches",ENISA ETL 2024; CISA KEV,ENISA Sec.2.1 (targeting identities); KEV: CVE-2020-1472 (Zerologon privilege escalation),"Direct: Hybrid AD with ~3,500 accounts. MFA not enforced for all internal apps.",verified,
