technique_id,technique_name,tactic,traditional_match,llm_baseline_match,llm_structured_match,coder_id,confidence,notes
T1589,Gather Victim Identity Information,reconnaissance,0,0,0,B,,
T1590,Gather Victim Network Information,reconnaissance,0,0,1,B,clear,
T1591,Gather Victim Org Information,reconnaissance,0,0,1,B,clear,
T1592,Gather Victim Host Information,reconnaissance,0,0,1,B,clear,
T1593,Search Open Websites/Domains,reconnaissance,0,0,1,B,clear,
T1594,Search Victim-Owned Websites,reconnaissance,0,0,0,B,,
T1595,Active Scanning,reconnaissance,0,0,1,B,clear,
T1596,Search Open Technical Databases,reconnaissance,0,0,1,B,clear,
T1597,Search Closed Sources,reconnaissance,0,0,1,B,clear,
T1598,Phishing for Information,reconnaissance,1,1,1,B,clear,"trad:T-004; base:B-001,B-002"
T1583,Acquire Infrastructure,resource-development,0,0,1,B,clear,
T1584,Compromise Infrastructure,resource-development,0,0,0,B,,
T1585,Establish Accounts,resource-development,0,0,1,B,clear,
T1586,Compromise Accounts,resource-development,0,0,0,B,,
T1587,Develop Capabilities,resource-development,0,0,1,B,clear,
T1588,Obtain Capabilities,resource-development,0,0,1,B,clear,
T1608,Stage Capabilities,resource-development,0,0,0,B,,
T1650,Acquire Access,resource-development,0,0,0,B,,
T1078,Valid Accounts,initial-access,1,1,1,B,clear,"trad:T-001,T-004,T-009,T-010,T-016,T-022,T-031,T-033,T-039,T-040,T-043; base:B-001,B-002,B-003,B-004,B-005,B-007,B-009,B-012,B-013,B-014"
T1091,Replication Through Removable Media,initial-access,0,0,0,B,,
T1133,External Remote Services,initial-access,1,1,1,B,clear,"trad:T-003,T-017,T-018; base:B-001,B-002,B-009,B-011,B-012"
T1189,Drive-by Compromise,initial-access,0,0,0,B,,
T1190,Exploit Public-Facing Application,initial-access,1,1,1,B,clear,"trad:T-003,T-021,T-028,T-029,T-030; base:B-001,B-014"
T1195,Supply Chain Compromise,initial-access,1,1,1,B,clear,"trad:T-015,T-019; base:B-004"
T1199,Trusted Relationship,initial-access,1,1,1,B,clear,"trad:T-016,T-017,T-018,T-035; base:B-004,B-009,B-011,B-012"
T1200,Hardware Additions,initial-access,0,0,0,B,,
T1566,Phishing,initial-access,1,1,1,B,clear,"trad:T-004,T-005; base:B-001,B-002,B-004,B-013"
T1659,Content Injection,initial-access,0,0,0,B,,
T1047,Windows Management Instrumentation,execution,1,1,1,B,clear,trad:T-037; base:B-001
T1053,Scheduled Task/Job,execution,0,0,1,B,clear,
T1059,Command and Scripting Interpreter,execution,1,1,1,B,clear,trad:T-037; base:B-002
T1072,Software Deployment Tools,execution,0,0,1,B,clear,
T1106,Native API,execution,0,0,0,B,,
T1129,Shared Modules,execution,0,0,0,B,,
T1203,Exploitation for Client Execution,execution,0,1,0,B,plausible,base:B-002
T1204,User Execution,execution,1,1,1,B,clear,"trad:T-012,T-013; base:B-002"
T1559,Inter-Process Communication,execution,0,0,0,B,,
T1569,System Services,execution,0,0,0,B,,
T1609,Container Administration Command,execution,0,0,0,B,,
T1610,Deploy Container,execution,0,0,0,B,,
T1648,Serverless Execution,execution,0,0,0,B,,
T1651,Cloud Administration Command,execution,0,0,0,B,,
T1037,Boot or Logon Initialization Scripts,persistence,0,0,0,B,,
T1053,Scheduled Task/Job,persistence,0,0,1,B,clear,
T1078,Valid Accounts,persistence,1,1,1,B,clear,"trad:T-001,T-004,T-009,T-010,T-016,T-022,T-031,T-033,T-039,T-040,T-043; base:B-001,B-002,B-003,B-004,B-005,B-007,B-009,B-012,B-013,B-014"
T1098,Account Manipulation,persistence,1,1,1,B,clear,trad:T-042; base:B-013
T1133,External Remote Services,persistence,1,1,1,B,clear,"trad:T-003,T-017,T-018; base:B-001,B-002,B-009,B-011,B-012"
T1136,Create Account,persistence,0,0,1,B,clear,
T1137,Office Application Startup,persistence,0,0,0,B,,
T1176,Browser Extensions,persistence,0,0,0,B,,
T1197,BITS Jobs,persistence,0,0,0,B,,
T1205,Traffic Signaling,persistence,0,0,0,B,,
T1505,Server Software Component,persistence,0,1,1,B,clear,"base:B-004,B-012"
T1525,Implant Internal Image,persistence,0,0,0,B,,
T1542,Pre-OS Boot,persistence,0,0,0,B,,
T1543,Create or Modify System Process,persistence,0,0,1,B,clear,
T1546,Event Triggered Execution,persistence,0,0,0,B,,
T1547,Boot or Logon Autostart Execution,persistence,0,0,0,B,,
T1554,Compromise Host Software Binary,persistence,0,0,0,B,,
T1556,Modify Authentication Process,persistence,0,0,1,B,clear,
T1574,Hijack Execution Flow,persistence,0,0,0,B,,
T1653,Power Settings,persistence,0,0,0,B,,
T1037,Boot or Logon Initialization Scripts,privilege-escalation,0,0,0,B,,
T1053,Scheduled Task/Job,privilege-escalation,0,0,1,B,clear,
T1055,Process Injection,privilege-escalation,0,0,0,B,,
T1068,Exploitation for Privilege Escalation,privilege-escalation,1,0,1,B,clear,trad:T-027
T1078,Valid Accounts,privilege-escalation,1,1,1,B,clear,"trad:T-001,T-004,T-009,T-010,T-016,T-022,T-031,T-033,T-039,T-040,T-043; base:B-001,B-002,B-003,B-004,B-005,B-007,B-009,B-012,B-013,B-014"
T1098,Account Manipulation,privilege-escalation,1,1,1,B,clear,trad:T-042; base:B-013
T1134,Access Token Manipulation,privilege-escalation,0,0,1,B,clear,
T1484,Domain or Tenant Policy Modification,privilege-escalation,0,0,1,B,clear,
T1543,Create or Modify System Process,privilege-escalation,0,0,1,B,clear,
T1546,Event Triggered Execution,privilege-escalation,0,0,0,B,,
T1547,Boot or Logon Autostart Execution,privilege-escalation,0,0,0,B,,
T1548,Abuse Elevation Control Mechanism,privilege-escalation,0,0,1,B,clear,
T1574,Hijack Execution Flow,privilege-escalation,0,0,0,B,,
T1611,Escape to Host,privilege-escalation,0,0,1,B,clear,
T1006,Direct Volume Access,defense-evasion,0,0,0,B,,
T1014,Rootkit,defense-evasion,0,0,0,B,,
T1027,Obfuscated Files or Information,defense-evasion,0,0,1,B,clear,
