threat_id,technique_id,threat_description,ambiguity_class,rationale
GS-001,T1595,Active Scanning,clear_match,"EC5: valid ID, name matches canonical 'Active Scanning' (similarity 1.00)"
GS-002,T1593,Search Open Websites/Domains,clear_match,"EC5: valid ID, name matches canonical 'Search Open Websites/Domains' (similarity 1.00)"
GS-003,T1592,Gather Victim Host Information,clear_match,"EC5: valid ID, name matches canonical 'Gather Victim Host Information' (similarity 1.00)"
GS-004,T1589,Gather Victim Identity Information,clear_match,"EC5: valid ID, name matches canonical 'Gather Victim Identity Information' (similarity 1.00)"
GS-006,T1587,Develop Capabilities,clear_match,"EC5: valid ID, name matches canonical 'Develop Capabilities' (similarity 1.00)"
GS-007,T1583,Acquire Infrastructure,clear_match,"EC5: valid ID, name matches canonical 'Acquire Infrastructure' (similarity 1.00)"
GS-008,T1566,Phishing,clear_match,"EC5: valid ID, name matches canonical 'Phishing' (similarity 1.00)"
GS-009,T1190,Exploit Public-Facing Application,clear_match,"EC5: valid ID, name matches canonical 'Exploit Public-Facing Application' (similarity 1.00)"
GS-010,T1133,External Remote Services,clear_match,"EC5: valid ID, name matches canonical 'External Remote Services' (similarity 1.00)"
GS-012,T1059,PowerShell,plausible_match,EC5: valid ID but name 'PowerShell' differs from canonical 'Command and Scripting Interpreter' (similarity 0.19); verify correct technique
GS-013,T1204,User Execution,clear_match,"EC5: valid ID, name matches canonical 'User Execution' (similarity 1.00)"
GS-014,T1078,Valid Accounts,clear_match,"EC5: valid ID, name matches canonical 'Valid Accounts' (similarity 1.00)"
GS-015,T1136,Create Account: Cloud Account,clear_match,"EC5: valid ID, name matches canonical 'Create Account' (similarity 0.90)"
GS-016,T1053,Scheduled Task/Job: Scheduled Task,clear_match,"EC5: valid ID, name matches canonical 'Scheduled Task/Job' (similarity 0.90)"
GS-017,T1558,Kerberoasting,plausible_match,EC5: valid ID but name 'Kerberoasting' differs from canonical 'Steal or Forge Kerberos Tickets' (similarity 0.45); verify correct technique
GS-018,T1068,Exploitation for Privilege Escalation,clear_match,"EC5: valid ID, name matches canonical 'Exploitation for Privilege Escalation' (similarity 1.00)"
GS-019,T1562,Impair Defenses: Disable or Modify Tools,clear_match,"EC5: valid ID, name matches canonical 'Impair Defenses' (similarity 0.90)"
GS-020,T1027,Obfuscated Files or Information,clear_match,"EC5: valid ID, name matches canonical 'Obfuscated Files or Information' (similarity 1.00)"
GS-021,T1550,Use Alternate Authentication Material: Pass the Hash,clear_match,"EC5: valid ID, name matches canonical 'Use Alternate Authentication Material' (similarity 0.90)"
GS-022,T1070,Indicator Removal: File Deletion,clear_match,"EC5: valid ID, name matches canonical 'Indicator Removal' (similarity 0.90)"
GS-023,T1003,OS Credential Dumping: LSASS Memory,clear_match,"EC5: valid ID, name matches canonical 'OS Credential Dumping' (similarity 0.90)"
GS-025,T1528,Steal Application Access Token,clear_match,"EC5: valid ID, name matches canonical 'Steal Application Access Token' (similarity 1.00)"
GS-026,T1087,Account Discovery: Domain Account,clear_match,"EC5: valid ID, name matches canonical 'Account Discovery' (similarity 0.90)"
GS-027,T1046,Network Service Discovery,clear_match,"EC5: valid ID, name matches canonical 'Network Service Discovery' (similarity 1.00)"
GS-029,T1021,Remote Services: Remote Desktop Protocol,clear_match,"EC5: valid ID, name matches canonical 'Remote Services' (similarity 0.90)"
GS-031,T1210,Exploitation of Remote Services,clear_match,"EC5: valid ID, name matches canonical 'Exploitation of Remote Services' (similarity 1.00)"
GS-032,T1213,Data from Information Repositories: Databases,clear_match,"EC5: valid ID, name matches canonical 'Data from Information Repositories' (similarity 0.90)"
GS-033,T1114,Email Collection: Remote Public or Shared Mailbox,clear_match,"EC5: valid ID, name matches canonical 'Email Collection' (similarity 0.90)"
GS-034,T1530,Data from Cloud Storage Object,clear_match,"EC5: valid ID, name matches canonical 'Data from Cloud Storage' (similarity 0.90)"
GS-035,T1071,Application Layer Protocol: Web Protocols,clear_match,"EC5: valid ID, name matches canonical 'Application Layer Protocol' (similarity 0.90)"
GS-037,T1105,Ingress Tool Transfer,clear_match,"EC5: valid ID, name matches canonical 'Ingress Tool Transfer' (similarity 1.00)"
GS-038,T1041,Exfiltration Over C2 Channel,clear_match,"EC5: valid ID, name matches canonical 'Exfiltration Over C2 Channel' (similarity 1.00)"
GS-039,T1567,Exfiltration Over Web Service: Exfiltration to Cloud Storage,clear_match,"EC5: valid ID, name matches canonical 'Exfiltration Over Web Service' (similarity 0.90)"
GS-040,T1048,Exfiltration Over Alternative Protocol,clear_match,"EC5: valid ID, name matches canonical 'Exfiltration Over Alternative Protocol' (similarity 1.00)"
GS-041,T1486,Data Encrypted for Impact,clear_match,"EC5: valid ID, name matches canonical 'Data Encrypted for Impact' (similarity 1.00)"
GS-045,T1590,Gather Victim Host Information:,clear_match,"EC5: valid ID, name matches canonical 'Gather Victim Network Information' (similarity 0.84)"
GS-048,T1098,Account Manipulation: Additional Cloud Credentials:,clear_match,"EC5: valid ID, name matches canonical 'Account Manipulation' (similarity 0.90)"
GS-049,T1548,Abuse Elevation Control Mechanism: Bypass User Account Control:,clear_match,"EC5: valid ID, name matches canonical 'Abuse Elevation Control Mechanism' (similarity 0.90)"
GS-051,T1555,Credentials from Password Stores:,clear_match,"EC5: valid ID, name matches canonical 'Credentials from Password Stores' (similarity 0.98)"
GS-054,T1565,Data Manipulation: Transmitted Data Manipulation:,clear_match,"EC5: valid ID, name matches canonical 'Data Manipulation' (similarity 0.90)"
